"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"471","COLUMBIA",2.061424e-01,NA,"ARKANSAS", -93.17797,  33.12852
"472","JEFFERSON",1.239289e-01,NA,"ARKANSAS", -92.16404,  34.38065
"473","JEFFERSON",5.759093e-02,NA,"COLORADO",-105.80060,  39.37725
"474","COLUMBIA",4.180375e-04,NA,"FLORIDA", -82.60512,  30.18127
"475","JEFFERSON",8.708122e-03,NA,"FLORIDA", -83.88971,  30.43120
"476","COLUMBIA",2.713695e-01,NA,"GEORGIA", -82.25833,  33.50985
"477","JEFFERSON",1.856425e-01,NA,"GEORGIA", -83.57239,  34.11705
"478","JEFFERSON",1.701480e-02,NA,"IDAHO",-112.24937,  43.76409
"479","JEFFERSON",4.777663e-03,NA,"ILLINOIS", -88.86470,  38.22673
"480","JEFFERSON",7.399693e-03,NA,"INDIANA", -86.59000,  40.27944
"481","JEFFERSON",1.284552e-01,NA,"IOWA", -94.37742,  42.01725
"482","JEFFERSON",9.520782e-03,NA,"KANSAS", -95.76257,  37.10958
"483","JEFFERSON",3.215696e-02,NA,"KENTUCKY", -85.64349,  38.19381
